ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus/Minus,AllStarRank
1,Bradley Beal,WAS,28,32,14,18,35.7,32.9,11.5,23.9,48.2,2.3,6.9,33.5,7.6,8.4,90.3,1.3,4.1,5.4,4.7,3.3,1.4,0.4,2.6,48.7,3,0,-3.1,1
2,Joel Embiid,PHI,27,30,23,7,33,30.2,9.5,18.2,52.1,1.2,3,41.6,9.9,11.6,85.6,2.2,9.4,11.6,3.3,3.2,1.2,1.4,2.5,53.6,21,0,7.8,2.8
3,Damian Lillard,POR,30,34,20,14,36,29.9,9.3,20.8,44.5,4.3,11.2,38.4,7,7.5,93.4,0.4,3.8,4.3,8,3.3,1,0.3,1.6,47.5,8,0,2,2.5
4,Stephen Curry,GSW,33,35,19,16,34.1,29.7,9.8,20.5,47.8,4.8,11.7,41.1,5.3,5.6,93.4,0.5,5,5.5,6.3,3.2,1.3,0.1,1.8,46.6,7,0,2.3,1
5,Giannis Antetokounmpo,MIL,26,35,21,14,34,29,10.5,18.9,55.7,1.1,3.9,28.5,6.9,10.4,66.1,1.8,9.8,11.7,5.9,3.7,1.3,1.4,3,56.1,25,4,7.3,1.8
6,Kevin Durant,BKN,32,19,12,7,35.8,29,9.9,18.9,52.4,2.6,5.9,43.4,6.6,7.6,86.9,0.4,6.9,7.3,5.3,3.5,0.7,1.4,2.3,48.6,6,0,8.4,1.5
7,Zach LaVine,CHI,26,34,16,18,35.6,28.7,10.3,19.6,52.5,3.5,8.1,43.5,4.6,5.4,85.7,0.7,4.5,5.2,5.1,3.9,1.1,0.4,2.6,43.2,2,0,-1.5,4
8,Luka Doncic,DAL,22,32,17,15,35.2,28.6,10,20.9,47.8,2.7,7.4,35.7,6,8,75.7,0.8,7.6,8.4,9,4.2,1,0.7,2,53.1,16,7,0.8,2.5
9,Kyrie Irving,BKN,29,26,18,8,35.5,27.2,10.3,20.3,51,2.9,7.1,41.1,3.6,4.1,88.7,1.2,3.6,4.8,6,2.3,1.1,0.6,2.8,44.7,2,0,7.8,2.5
10,Nikola Jokic,DEN,26,36,21,15,35.9,27.1,10.5,18.6,56.7,1.6,3.7,41.8,4.5,5.1,88.1,2.8,8.2,11,8.6,3.2,1.6,0.6,3,56.8,32,9,5.9,2
11,CJ McCollum,POR,29,13,8,5,33.8,26.7,9.5,20,47.3,4.8,11,44.1,2.9,3.5,84.4,0.5,3.4,3.9,5,1,1.3,0.3,2.2,42.7,2,0,4.3,38.8
12,Kawhi Leonard,LAC,30,30,20,10,34.6,26.6,9.6,18.7,51.1,2,5.2,38.7,5.5,6.3,87.3,0.9,5.3,6.3,4.9,1.9,1.5,0.5,1.6,45.6,5,0,7.9,3.2
13,Trae Young,ATL,22,34,16,18,34.8,26.4,7.7,17.9,43,2.5,6.6,37.8,8.5,9.6,87.8,0.7,3.4,4.2,9.4,4.4,0.9,0.2,2.1,44.5,16,0,3.1,7.2
14,LeBron James,LAL,36,36,24,12,34.6,25.8,9.7,19.1,50.9,2.4,6.7,35.8,4,5.8,69.2,0.6,7.4,8,7.8,3.8,1.1,0.6,1.6,48.6,15,3,6.5,1
15,Zion Williamson,NOP,20,34,15,19,33.1,25.6,9.9,16.1,61.4,0.2,0.6,31.6,5.7,8.2,69.5,2.7,4.5,7.2,3.4,2.6,0.9,0.7,2.4,41.8,9,0,0.1,40
16,James Harden,BKN,31,31,19,12,37.8,25.3,8.1,16.7,48.4,3.3,8.1,40.1,5.9,6.9,85.9,0.8,7,7.8,11.1,4.2,1.2,0.7,2.2,52.6,24,8,2.7,3
17,Jayson Tatum,BOS,23,31,17,14,35.8,24.9,9,20.6,43.7,2.6,7.1,36.8,4.3,5,85.9,0.6,6.5,7.1,4.5,2.5,1.4,0.5,1.9,43.1,6,0,2.7,4.5
18,Devin Booker,PHX,24,31,22,9,33.9,24.9,9.2,18.5,49.6,2,5.6,36.2,4.5,5.4,83.9,0.2,3.5,3.6,4.4,3.3,0.9,0.3,3,36.1,1,0,4.8,33.8
19,Jaylen Brown,BOS,24,33,17,16,33.8,24.7,9.2,18.7,49.5,2.3,5.9,38.8,3.9,5.1,77.2,1.1,4.5,5.6,3.9,2.8,1.1,0.5,2.9,39.2,4,0,1,4.2
20,Donovan Mitchell,UTA,24,34,25,9,33.9,24.7,8.5,20.1,42.1,3.3,8.7,38.2,4.4,5.4,82.4,1.1,3.6,4.7,5.4,3,1,0.3,2.3,39.2,2,0,5.6,4.2
21,Nikola Vucevic,CHI,30,36,13,23,33.9,24.6,9.9,20.4,48.3,2.7,6.5,41.2,2.2,2.6,85.1,1.9,9.7,11.6,3.7,1.7,1,0.6,1.7,47.3,24,1,-6.3,41.5
22,Collin Sexton,CLE,22,31,12,19,36.4,24.1,8.8,18.2,48.7,1.7,4.2,40,4.7,5.9,80.3,0.7,1.9,2.6,4.5,2.9,1.2,0.1,2.8,34.8,1,0,-4,42
23,Brandon Ingram,NOP,23,36,15,21,34.8,23.9,8.5,18,47.2,2.4,6.2,37.9,4.6,5.1,88.6,0.6,4.5,5.1,4.8,2.3,0.7,0.8,2,39.3,4,0,-0.4,41
24,Paul George,LAC,31,27,19,8,33.5,23.7,8.3,16.7,49.9,3.5,7.8,45,3.5,4,88.8,0.9,5.2,6.1,5.4,3.4,1.1,0.5,2.3,40.7,3,0,8.6,5
25,Jerami Grant,DET,27,33,9,24,36.2,23.4,7.7,17.8,43.3,2.5,6.8,36.3,5.6,6.3,88.9,0.7,4.6,5.3,2.9,1.9,0.8,1.1,2.7,37.9,3,0,-1.7,39.5
26,Julius Randle,NYK,26,37,19,18,36.7,23.2,8.3,17.2,48.3,1.9,4.6,40.8,4.8,5.9,80.5,1.4,9.6,11.1,5.5,3.2,0.8,0.2,3.1,44.7,24,1,1.5,6.8
27,Shai Gilgeous-Alexander,OKC,22,30,13,17,34,23.2,8,15.6,51.1,2,4.9,41.2,5.3,6.6,79.4,0.6,4.5,5.1,6.2,2.9,0.8,0.7,2,40.1,3,0,-4.4,37.5
28,De'Aaron Fox,SAC,23,35,14,21,34.2,23,8.4,18,46.6,1.8,5.3,34.2,4.5,6.6,67.2,0.7,2.6,3.2,7.6,3.3,1.2,0.5,2.9,40.1,10,0,-4.8,38.8
29,Anthony Davis,LAL,28,23,17,6,32.8,22.5,8.9,16.7,53.3,0.7,2.5,29.3,4,5.7,71.5,2,6.3,8.4,3,2,1.3,1.8,1.8,44.6,8,0,5.9,4
30,Christian Wood,HOU,25,17,8,9,31.2,22,8.8,15.7,55.8,1.9,4.5,42.1,2.6,3.8,68.8,1.8,8.4,10.2,1.3,1.8,0.9,1.5,1.9,41.8,9,0,2.5,8.2
31,Karl-Anthony Towns,MIN,25,16,3,13,32.7,22,7.9,15.9,49.4,1.9,5,37.5,4.4,4.8,90.9,3,7.9,10.9,3.9,3.2,0.9,1.7,3.8,45.5,13,0,-2.3,51
32,Jamal Murray,DEN,24,34,21,13,35.4,21.8,8,16.5,48.7,2.6,6.6,39.8,3.1,3.6,84.6,0.7,3.5,4.2,4.6,2.3,1.1,0.3,2.1,35.8,0,0,6.9,41
33,Gordon Hayward,CHA,31,31,16,15,34.8,21.5,7.9,16.2,48.7,2.1,5.1,40.5,3.7,4.3,85.7,0.9,4.5,5.4,3.9,2,1.3,0.4,1.8,37,1,0,0.5,41
34,Malcolm Brogdon,IND,28,34,16,18,35.6,21.2,8.1,18.1,44.7,2.4,6.4,37.8,2.6,2.9,89.7,0.8,3.9,4.6,6.2,2.1,1.2,0.2,1.9,38.3,2,0,-0.5,44.2
35,John Wall,HOU,30,25,9,16,31.7,21,7.5,17.7,42.4,2,6,34,4,5.3,74.4,0.4,2.8,3.2,6,3.3,0.9,0.7,1.2,35.5,3,0,-4.9,41.8
36,Domantas Sabonis,IND,25,35,16,19,36.5,20.8,7.8,14.9,52.5,0.9,2.7,33.3,4.2,5.9,71.4,2.6,8.5,11.1,6,3.4,1,0.6,3.4,44.6,25,4,-2.5,7.2
37,Khris Middleton,MIL,29,36,22,14,33.4,20.6,7.6,15.3,49.5,2.3,5.3,43.2,3.2,3.6,88.4,0.9,5.3,6.1,5.7,2.6,1.1,0.2,2.6,37.8,7,0,4.4,44.5
38,Jimmy Butler,MIA,31,22,14,8,33.1,20.5,6.5,14.3,45.4,0.4,1.5,23.5,7.2,8.3,86.3,2,5.5,7.5,7.8,2.3,1.9,0.4,1.2,45.8,9,4,4,36.8
39,Malik Beasley,MIN,24,33,7,26,33.1,20.5,7.6,16.7,45.5,3.5,8.7,40.6,1.8,2.2,84.7,0.8,3.8,4.6,2.5,1.6,0.8,0.2,1.6,31.1,0,0,-4.3,50.8
40,Terry Rozier,CHA,27,33,16,17,33.5,20.5,7.4,15.2,49,3.4,7.7,43.9,2.3,2.8,82.4,0.5,3.3,3.8,3.2,2.1,1.4,0.4,2,33.1,0,0,-2.2,49.8
41,Russell Westbrook,WAS,32,27,10,17,34.2,20.3,7.8,18.3,42.8,1.1,3.8,29.4,3.5,6,58.3,1.6,8.1,9.7,9.8,4.8,1.1,0.3,2.9,46.3,22,10,-4.7,8.2
42,Tobias Harris,PHI,28,31,22,9,34.4,20.2,7.8,15.2,51.3,1.6,4.1,40.2,3,3.4,88.7,1.2,6.4,7.6,3.4,1.9,0.8,0.8,2.1,37.5,9,0,5.2,41.8
43,Kristaps Porzingis,DAL,25,20,11,9,30.1,20.2,7.6,16.1,46.9,2.2,6.3,34.9,2.9,3.4,83.8,1.9,6.5,8.4,1.4,1.3,0.4,1.6,3,36.8,8,0,-1.8,41.8
44,Fred VanVleet,TOR,27,34,17,17,36.7,20.1,6.6,16.6,40,3.4,8.8,38.3,3.5,3.9,89.4,0.7,3.8,4.4,6.6,2,1.7,0.8,2.4,40.8,3,0,3.4,41
45,Pascal Siakam,TOR,27,30,14,16,35.8,20.1,7.4,16.3,45.3,1.2,4.1,29.5,4.1,5,81.9,1.9,5.5,7.5,4.8,2.2,1.2,0.7,3.1,39.6,8,1,2.3,41.2
46,DeMar DeRozan,SAS,31,29,17,12,33.8,20,6.7,13.8,48.4,0.6,1.8,30.8,6,6.8,89.3,0.8,4.1,4.9,7.2,1.7,0.9,0.3,1.9,38.4,6,0,-1.1,38.8
47,Victor Oladipo,MIA,29,24,10,14,32.7,20,7.3,18.2,39.9,2.5,7.5,33.1,3,4,74.7,0.3,4.9,5.2,4.5,2.2,1.5,0.5,2.3,36.7,0,0,-0.6,44.5
48,Ja Morant,MEM,21,24,12,12,30.7,19.8,7.2,15.8,45.4,0.9,3.8,23.3,4.6,5.8,79.7,0.8,2.5,3.3,7.7,2.9,1,0.2,1.5,36,7,1,-0.1,35.5
49,D'Angelo Russell,MIN,25,20,5,15,29.2,19.3,7,16.3,42.6,3,7.4,39.9,2.4,3.2,75,0.5,2.2,2.6,5.1,2.7,1.1,0.5,2,32,1,0,-9.9,52.8
50,Bam Adebayo,MIA,23,33,17,16,33.9,19.2,7.2,12.7,56.3,0.1,0.2,33.3,4.8,5.7,84.7,2.2,7.3,9.5,5.4,3,0.9,1,2.4,41.5,20,1,-0.2,36.8
51,Lauri Markkanen,CHI,24,14,5,9,30.4,19.1,6.8,13.2,51.4,2.9,7.2,39.6,2.7,3.2,84.4,0.6,5.5,6.1,0.9,1.7,0.6,0.4,2.2,29,1,0,-5.8,54.2
52,Evan Fournier,BOS,28,21,10,11,29.2,18.5,6,13.4,45,2.5,6.7,37.1,4,5,79,0.2,2.9,3.1,3.8,2.1,1,0.3,2,29.9,0,0,-2.7,56.8
53,Caris LeVert,IND,26,12,6,6,27.8,18.5,7.3,16.7,43.5,1.8,5.3,34.9,2.2,2.8,76.5,0.8,3.5,4.3,6,2.2,1.1,0.5,1.7,35.3,2,0,3.8,58.2
54,Kemba Walker,OKC,31,20,10,10,30,18.5,6.2,15.9,38.8,3,8.1,36.6,3.2,3.5,91.4,0.4,3.2,3.6,4.6,2.2,1.1,0.4,1.4,31.6,0,0,0.4,47.8
55,Norman Powell,POR,28,34,16,18,29.6,18.4,6.2,12.7,48.8,2.6,5.9,43.8,3.4,3.8,89.9,0.4,2.6,3,1.7,1.7,1.2,0.1,2.1,26.9,0,0,1.4,62.8
56,Kyle Lowry,TOR,35,29,11,18,34.6,18,6,13.1,45.7,2.9,7.1,40.3,3.1,3.7,85.8,0.8,4.7,5.5,7,2.8,1.2,0.2,3.2,36.5,7,2,1.8,42.5
57,John Collins,ATL,23,36,16,20,30.7,18,7,13.1,53.6,1.4,3.6,38.8,2.6,3,85.3,2.1,5.5,7.6,1.4,1.3,0.4,1,3.3,32.2,10,0,1.4,51
58,Jordan Clarkson,UTA,29,36,27,9,26,17.9,6.6,14.7,44.7,3.2,8.6,37,1.6,1.7,96.7,0.9,3.1,4,2.3,1.7,0.9,0.2,1.5,27.9,0,0,4.7,42.5
59,Eric Gordon,HOU,32,26,10,16,29.4,17.8,5.9,13.5,43.7,2.5,7.7,32.8,3.5,4.2,83.6,0.3,1.9,2.2,2.7,1.9,0.5,0.5,1.6,25.7,0,0,-1.9,89.5
60,Andre Drummond,LAL,27,25,9,16,28.9,17.5,7.2,15.2,47.4,0,0.3,0,3.1,5.2,59.7,4,9.4,13.5,2.6,3.2,1.6,1.2,2.8,42.5,18,0,-4.3,43
61,De'Andre Hunter,ATL,23,18,9,9,32.1,17.2,6,11.7,51.4,1.7,4.6,36.6,3.6,4.1,87.7,0.9,4.5,5.4,2.2,1.4,0.9,0.5,2.6,30,1,0,4.3,59.2
62,Andrew Wiggins,GSW,26,37,19,18,32.2,17,6.5,14.1,46.3,1.8,5,35.1,2.2,3.3,67.2,1,3.4,4.5,2.2,1.9,0.8,1.1,2.3,29.4,0,0,-1.7,43.5
63,Harrison Barnes,SAC,29,33,14,19,35.7,16.7,5.6,11.3,49.2,1.7,4.3,39.2,3.9,4.7,82.6,1,5.1,6.1,3.6,1.4,0.8,0.2,1.3,30.8,1,0,-2.4,61.8
64,RJ Barrett,NYK,21,37,19,18,33.2,16.5,6.3,14.2,44.3,1.2,3.3,35,2.8,3.8,73,1.2,4.8,6,2.9,1.9,0.6,0.2,2.6,28.8,3,0,1.2,47
65,Tim Hardaway Jr.,DAL,29,33,18,15,29.5,16.4,5.8,13.2,43.8,2.9,7.6,38.5,2,2.5,80.2,0.4,2.8,3.2,1.7,0.9,0.6,0.2,1.5,24.2,0,0,-0.7,49.5
66,Buddy Hield,SAC,28,36,14,22,34.8,16.4,5.5,14.1,39.1,3.9,10.3,37.8,1.5,1.8,84.4,0.3,4.2,4.5,3.2,1.8,0.8,0.3,2.7,28.1,1,0,-3.5,51.2
67,Coby White,CHI,21,34,16,18,33.2,16.2,5.9,14.1,42,2.4,6.7,35.4,2,2.3,89.6,0.5,4.6,5.1,5,2.4,0.4,0.1,2.5,29,4,0,-2.4,52.8
68,Darius Garland,CLE,21,28,11,17,32.9,16.1,6.4,14.5,44,1.7,4.5,38.4,1.6,1.9,84.9,0.5,1.8,2.2,5.9,2.9,1.2,0.1,2.2,28.5,3,0,-5.7,59.2
69,Mike Conley,UTA,33,29,20,9,29.4,16.1,5.6,12.5,44.4,2.8,6.6,42.2,2.2,2.6,82.9,1,2.5,3.5,5.7,1.9,1.4,0.1,1.9,31.5,2,0,9.6,41.8
70,Ben Simmons,PHI,24,31,22,9,33.9,16.1,6.2,10.7,57.8,0.1,0.2,28.6,3.6,5.4,67.1,1.7,6.2,7.9,7.6,3.4,1.6,0.7,3.1,40.5,11,3,5.5,8.8
71,Chris Paul,PHX,36,34,23,11,31.8,16,6,12.4,48.6,1.5,3.9,39.1,2.4,2.6,95.4,0.5,4.2,4.7,8.8,2.4,1.2,0.3,2.5,36.9,11,0,4.9,35.5
72,Dillon Brooks,MEM,25,29,15,14,29.2,15.9,6.1,15.3,39.6,1.9,5.8,32,1.9,2.3,83.3,1,2.2,3.1,2.6,2,1.4,0.5,3.3,27.2,0,0,0.7,61.2
73,Tyler Herro,MIA,21,25,12,13,32.7,15.8,6,13.8,43.8,2,5.8,34.7,1.8,2.3,77.2,0.4,5.3,5.7,3.6,2.4,0.6,0.4,1.6,28.7,3,0,-3.1,48
74,LaMelo Ball,CHA,19,35,17,18,28.9,15.8,5.7,12.8,44.9,2,5.3,37.8,2.3,2.9,80.2,1.5,4.6,6,6.3,2.8,1.6,0.4,2.7,35.7,7,1,-0.5,44.5
75,Dejounte Murray,SAS,24,32,18,14,31,15.8,6.5,14.2,45.6,1.1,3.3,32.4,1.8,2.2,81.2,0.6,6.4,7,5.4,1.7,1.6,0.1,2.1,35.8,8,2,2.3,46.8
76,Bojan Bogdanovic,UTA,32,36,27,9,30.6,15.7,5.2,12.1,43.2,2.7,6.7,40.5,2.6,3,85.2,0.5,3.4,3.9,1.9,1.4,0.5,0.1,1.6,23.6,0,0,5.8,49.2
77,Jonas Valanciunas,MEM,29,27,13,14,27.2,15.6,6.3,11.7,53.9,0.4,1,35.7,2.5,3.3,75.6,3.4,7.9,11.3,1.7,2.1,0.6,0.6,3.1,33.4,20,0,0.2,50.5
78,Terrence Ross,ORL,30,35,13,22,29.5,15.5,5.6,13.6,41,2.1,6.1,34.4,2.3,2.6,90,0.3,3.1,3.5,2.2,1.7,1.1,0.5,1.8,26.2,0,0,-4.9,67.8
79,T.J. Warren,IND,27,4,3,1,29.3,15.5,6.8,12.8,52.9,0,1.8,0,2,2.5,80,0.5,3,3.5,1.3,1,0.5,0,4,22.1,0,0,0.3,110
80,Kelly Oubre Jr.,GSW,25,35,19,16,30.4,15.5,5.8,13.2,43.6,1.7,5.3,32.1,2.2,3,74,1.5,4.5,5.9,1.4,1.3,1.1,0.8,2.2,29.1,3,0,-1.8,53.2
81,Jrue Holiday,MIL,31,26,17,9,31,15.3,6.1,12.5,49.1,1.7,4.7,36.4,1.4,1.8,76.6,1.2,3.2,4.3,5.1,1.6,1.8,0.5,1.7,33.6,0,0,6.5,46.2
82,Gary Trent Jr.,TOR,22,33,20,13,31.2,15.2,5.5,13.1,42.3,3.1,7.5,40.6,1.1,1.4,77.8,0.6,1.6,2.2,1.5,0.7,0.8,0.2,1.6,22,0,0,-0.2,65.2
83,Dennis Schroder,LAL,27,33,24,9,31.2,14.9,5.2,11.9,44,1,3.2,31.7,3.4,4.1,83.1,0.5,2.9,3.5,4.5,2.3,0.9,0.2,2.7,26.9,1,0,5,50.2
84,Anthony Edwards,MIN,19,36,7,29,29.1,14.9,5.5,14.9,37.1,1.9,6.3,30.2,1.9,2.4,80.5,0.7,3.3,4,2.5,1.8,0.9,0.4,1.5,25.4,0,0,-5.5,94
85,Joe Harris,BKN,29,37,24,13,30.9,14.8,5.4,10.2,53,3.4,6.7,50.6,0.6,0.8,70,0.5,3,3.5,1.8,0.8,0.5,0.2,2.2,23.1,0,0,6.2,57.2
86,Goran Dragic,MIA,35,22,11,11,27.1,14.8,5.3,11.5,45.8,1.6,4.4,36.1,2.6,3.1,84.1,0.3,2.8,3.1,4.8,2.8,0.6,0.2,2.6,25.2,1,0,1.6,49
87,Clint Capela,ATL,27,32,13,19,29.7,14.7,6.5,11,58.9,0,0,0,1.7,3.1,55,5,9.2,14.2,0.9,1.4,0.8,2.2,2.3,40.5,24,1,2.5,48.5
88,Michael Porter Jr.,DEN,23,26,15,11,28.6,14.6,5.5,10.9,50.2,2.4,5.7,41.6,1.3,1.7,75.6,1.2,5.8,7,0.9,1.1,0.9,1.1,2.3,29.2,7,0,3.6,57.5
89,Lonzo Ball,NOP,23,33,14,19,31.8,14.5,5.3,12.4,42.8,3,7.8,38.7,0.9,1.2,77.5,0.6,3.5,4.2,5.1,2,1.3,0.5,2.2,30.7,1,0,1.4,44.2
90,Deandre Ayton,PHX,22,35,24,11,31.1,14.5,6.2,10.5,59.4,0.1,0.5,23.5,1.9,2.5,75,3.3,8.1,11.4,1.7,1.7,0.3,1.1,3.1,33.1,20,0,3,48
91,Thomas Bryant,WAS,23,10,2,8,27.1,14.3,5.9,9.1,64.8,0.9,2.1,42.9,1.6,2.4,66.7,1.8,4.3,6.1,1.5,1.1,0.4,0.8,3.1,26.4,1,0,-1.4,113.5
92,Kendrick Nunn,MIA,25,28,15,13,30,14.2,5.4,11.8,46.1,2.1,5.7,36.5,1.3,1.4,92.3,0.5,2.9,3.4,2.7,1.8,1.1,0.3,1.9,24.9,0,0,-1.4,105.8
93,Rudy Gobert,UTA,29,36,27,9,30.7,14.2,5.4,8.5,64.1,0,0,0,3.3,5.5,59.9,3.3,9.8,13.1,1.3,1.8,0.5,2.7,2.3,39.7,24,0,8.9,8.8
94,Keldon Johnson,SAS,21,29,17,12,29.1,14.1,5.2,11,47.2,1,3,32.6,2.7,3.5,78.2,1.6,5,6.7,2.2,1.4,0.8,0.5,2.3,27.7,5,0,-3.3,58.2
95,Marvin Bagley III,SAC,22,34,14,20,26.1,14.1,5.7,11.5,50,1,2.7,37,1.6,3,52.9,2.4,5.1,7.6,1,1.4,0.5,0.5,2.4,26.2,10,0,-3.5,69.2
96,Al Horford,BOS,35,24,10,14,28.2,14,5.8,13,44.2,2,5.5,35.6,0.6,0.8,77.8,1,5.7,6.7,3.5,1.1,0.9,0.9,1.8,31.4,1,0,-2.9,54.2
97,Carmelo Anthony,POR,37,34,20,14,25.6,13.8,4.9,11.8,41.3,1.8,4.6,38.7,2.3,2.7,83.9,0.6,2.8,3.3,1.5,1,0.9,0.8,2.1,24.1,0,0,-2.9,42.2
98,Shake Milton,PHI,24,28,21,7,25.1,13.8,4.8,10.9,44.1,1.1,3.5,31.3,3.1,3.5,88.7,0.6,1.5,2.1,3,1.5,0.6,0.3,2.3,22.1,0,0,1.5,57.8
99,Montrezl Harrell,LAL,27,37,24,13,24.1,13.8,5.6,9,62.6,0,0.2,0,2.5,3.3,75.6,2.4,4,6.4,1.1,1.1,0.6,0.7,2.1,26.1,4,0,1.9,54.2
100,Aaron Gordon,DEN,25,19,8,11,29.1,13.8,4.8,11.2,42.7,1.6,4.4,36.9,2.6,4.2,61.3,1.7,5.5,7.2,4.2,2.8,0.7,0.8,2,30.7,3,1,-2.1,54.5
101,OG Anunoby,TOR,23,23,11,12,33.4,13.8,5,10.3,47.9,2.1,5.4,39.5,1.7,2.3,75.5,1.4,4.3,5.7,1.7,1.7,1.6,0.7,2.8,28.5,1,0,2.8,45
102,Devonte' Graham,CHA,26,25,11,14,32.8,13.7,4.4,12.4,35.2,2.8,8.1,34.7,2.2,2.8,77.5,0.6,2.4,3,5.7,1.4,1,0,1.5,27.4,3,0,2.9,57.8
103,LaMarcus Aldridge,BKN,35,21,12,9,25.9,13.7,5.5,11.8,46.4,1.3,3.6,36,1.5,1.8,83.8,0.8,3.7,4.5,1.7,1,0.4,0.9,1.7,24.4,1,0,-2.8,50.8
104,Mikal Bridges,PHX,24,35,24,11,32.3,13.7,4.9,9.4,52.4,1.9,4.5,42,2,2.3,84.1,1.3,3.7,5.1,2.2,0.8,0.7,0.9,1.6,27.3,1,0,3.8,51.2
105,Chris Boucher,TOR,28,36,17,19,23.6,13.6,4.8,8.9,53.4,1.7,3.8,44.5,2.4,3.1,75.9,1.9,4.6,6.5,1,0.7,0.6,1.9,2.7,29.6,7,0,2.9,46.5
106,Josh Jackson,DET,24,32,9,23,24.9,13.5,4.8,11.3,42.5,1.3,4.4,29.1,2.6,3.8,69.4,1.1,3.3,4.4,1.9,2.3,0.9,0.9,2.9,24.7,1,0,-0.7,81.8
107,Derrick Rose,NYK,32,25,11,14,23.5,13.5,5,11.7,43,0.9,2.4,37.7,2.5,3,85.1,0.3,1.9,2.2,4.5,1.9,1.2,0.4,1.2,25.6,1,0,-0.2,42.8
108,Malik Monk,CHA,23,22,10,12,22.7,13.5,4.7,10.1,46.2,2.5,5.6,43.9,1.7,2.1,78.7,0.4,2.5,2.9,1.9,1.5,0.3,0.1,1.5,19.3,0,0,1.9,118.2
109,Jarrett Allen,CLE,23,35,14,21,27.9,13.5,4.9,7.3,66.9,0.1,0.2,50,3.5,4.7,74.1,3.2,6.7,9.9,1.7,1.5,0.5,1.7,1.6,32.8,16,0,-0.3,50
110,Myles Turner,IND,25,33,16,17,31.5,13.5,4.7,9.8,48.4,1.5,4.6,31.4,2.5,3.3,77.8,1.4,5.2,6.5,0.9,1.4,1,3.4,3.5,34.5,7,0,1.2,48
111,Kyle Anderson,MEM,27,30,15,15,27.6,13.4,4.9,10.2,47.7,1.5,4,38,2.1,2.8,76.2,0.9,5.2,6.1,3.5,1.5,1.2,0.7,1.8,30.1,2,0,0.9,63.2
112,Patty Mills,SAS,32,32,18,14,25.8,13.3,4.7,10.5,44.8,2.8,6.8,40.2,1.1,1.3,90,0.3,1.5,1.8,2.7,1.1,0.6,0,1.4,20.4,0,0,3.9,93
113,Tyrese Haliburton,SAC,21,30,12,18,30.1,13.2,5.1,10.3,49.4,2.4,5.5,43.3,0.7,0.8,83.3,1,2.6,3.6,5.4,1.5,1.4,0.6,1.2,30,1,0,-3,59.2
114,Doug McDermott,IND,29,34,16,18,25.9,13.2,5.1,10.1,50.6,1.6,4.4,36.4,1.3,1.6,81.8,1,3,4,1.3,1,0.3,0.1,1.7,20.2,0,0,1.5,64.2
115,Marcus Smart,BOS,27,17,9,8,32.3,13.1,4.4,11.1,39.4,1.6,5.3,31.1,2.7,3.6,74.2,0.4,2.4,2.8,6.1,1.8,1.8,0.5,2.3,30.8,2,0,-0.2,54.2
