ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus/Minus,AllStarRank
116,Richaun Holmes,SAC,27,32,14,18,29.4,13,5.6,8.6,65.1,0,0.2,16.7,1.8,2.3,80.6,2.5,5.8,8.3,1.7,1.3,0.7,1.5,4,30.9,11,0,-0.4,64
117,Markelle Fultz,ORL,23,8,6,2,26.9,12.9,5.1,13,39.4,0.5,2,25,2.1,2.4,89.5,0.6,2.5,3.1,5.4,2.3,1,0.3,2.3,26.2,1,0,-3.6,104.2
118,Josh Richardson,DAL,27,25,14,11,31.5,12.8,4.6,10.7,42.7,1.5,5.3,28.8,2.2,2.3,94.8,0.9,2.4,3.3,2.5,1.5,0.9,0.2,2.8,22.6,0,0,-2.5,63
119,Duncan Robinson,MIA,27,36,18,18,33.4,12.8,4.2,9.8,42.9,3.3,8.3,39.1,1.2,1.4,84,0.1,3.9,3.9,1.6,1.3,0.5,0.2,2.5,20.7,1,0,0,62.2
120,Jalen Brunson,DAL,24,30,16,14,24.9,12.7,4.6,8.7,53.1,1.3,3.2,40.2,2.1,2.5,85.3,0.2,3.3,3.5,3.4,1.3,0.5,0,1.5,22.3,0,0,-0.2,65.8
121,Elfrid Payton,NYK,27,33,16,17,28.2,12.7,5.3,11.9,44.3,0.5,1.8,25,1.7,2.2,74.3,1.3,2.5,3.8,3.7,1.9,0.7,0.2,1.9,23.6,0,0,-1,109.8
122,Eric Bledsoe,NOP,31,35,15,20,29.7,12.6,4.5,10.4,43.5,2,5.1,38.5,1.6,2.3,67.9,0.5,3.1,3.5,3.8,1.6,0.8,0.3,1.5,24.2,3,0,-1.9,56.8
123,Lou Williams,ATL,34,35,21,14,22.7,12.5,4.5,10.7,42.2,1.1,2.8,39.8,2.4,2.7,86.5,0.4,1.9,2.3,3.7,1.6,0.9,0.1,1,22.1,2,0,2.4,51.8
124,Seth Curry,PHI,30,28,20,8,29.9,12.5,4.4,9.4,46.9,2,4.5,44.8,1.7,1.9,92.3,0.2,1.8,2,2.8,1.5,0.9,0.3,1.7,21.1,0,0,6.3,46.5
125,Rui Hachimura,WAS,23,27,14,13,30.1,12.5,4.5,9.9,45.7,0.8,2.6,30.4,2.7,3.5,75.8,1.1,4.4,5.4,1.7,1,0.7,0.1,2.3,22.9,1,0,-3.9,51.2
126,P.J. Washington,CHA,22,31,16,15,29.3,12.5,4.4,9.8,44.9,1.4,3.5,38.5,2.3,2.9,77.8,1.5,4.9,6.3,2.9,2.1,1.1,1.2,2.7,29.1,5,0,0.9,63.5
127,Luguentz Dort,OKC,22,35,15,20,29.7,12.3,4.3,11,38.8,1.9,6,32.5,1.9,2.5,75,0.7,2.8,3.5,1.5,1.5,0.9,0.3,2.4,20.7,0,0,-3.3,51.8
128,Marcus Morris Sr.,LAC,31,28,18,10,24.4,12.3,4.3,9.8,44,2.3,5,46.4,1.4,1.5,90.5,0.7,3.1,3.8,0.9,0.9,0.5,0.3,1.9,19.8,0,0,0.4,71.5
129,Wendell Carter Jr.,ORL,22,23,12,11,26.9,12.3,4.6,8.6,53.5,0.3,0.9,35,2.7,3.7,73.3,2.1,5.7,7.8,2.3,1.9,0.7,0.8,3.2,27.7,6,0,-3.4,63.8
130,Blake Griffin,BKN,32,20,6,14,31.3,12.3,4.1,11.1,36.5,2,6.2,31.5,2.2,3.1,71,0.4,4.9,5.2,3.9,1.6,0.7,0.1,2.1,25.1,1,0,-3.6,52
131,Brandon Clarke,MEM,24,27,15,12,26.9,12.2,5.2,10.1,51.5,0.6,1.7,32.6,1.3,2,66,1.6,4.1,5.7,1.6,0.6,1.2,0.6,1.6,26.5,2,0,-1,63.5
132,Immanuel Quickley,NYK,22,33,17,16,18.7,12.2,3.7,9.6,38.9,1.8,4.7,38.1,3,3.2,94.2,0.5,1.9,2.3,2.4,1,0.5,0.3,1.9,19.8,0,0,0.5,95.2
133,Kevin Huerter,ATL,22,36,16,20,32.1,12.1,4.6,10.8,42.6,2.1,5.9,36.5,0.8,0.9,82.4,0.7,2.9,3.6,3.7,1.3,1.3,0.2,2.4,25.1,3,0,-1.9,64.8
134,Thaddeus Young,CHI,33,30,15,15,25.3,12.1,5.6,9.1,60.9,0.2,0.7,22.7,0.8,1.5,50,2.4,3.5,5.9,4.4,1.9,1.4,0.6,2.7,29.7,2,0,3.8,77.2
135,Enes Kanter,POR,29,35,21,14,26.3,11.9,5.1,8.5,59.4,0,0,0,1.8,2.4,75,4.2,7.7,11.9,1.1,1.2,0.5,0.7,2.7,30.5,20,0,1.6,55.5
136,Hamidou Diallo,DET,22,32,13,19,23.8,11.9,4.5,9.3,48.1,0.4,1.3,29.3,2.6,4.1,62.9,1.2,4,5.2,2.4,1.5,1,0.4,2.6,24.2,4,0,-2.6,68.8
137,Darius Bazley,OKC,21,36,15,21,30.7,11.9,4.4,11.2,39.2,1.5,5.2,29,1.6,2.3,70.4,0.6,6.9,7.5,1.5,1.8,0.5,0.6,0.9,24.8,9,0,-5.7,65
138,Naz Reid,MIN,21,34,6,28,20.6,11.9,4.6,9,51.5,0.9,2.8,34,1.6,2.2,73.3,1.1,3.6,4.8,1.3,1.1,0.6,1.2,3.1,23.9,1,0,-5.7,125
139,George Hill,PHI,35,14,6,8,26.3,11.8,4.4,8.6,50.8,1.6,4.1,38.6,1.5,1.8,84,0.6,1.5,2.1,3.1,0.9,0.9,0.1,0.9,21,0,0,-1.1,72.2
140,James Wiseman,GSW,20,26,14,12,20.8,11.8,4.8,9.5,51,0.4,1,37,1.7,2.7,62.9,1.4,4.5,5.9,0.7,1.5,0.3,1.1,3.2,22.7,2,0,-3.3,98.5
141,Derrick White,SAS,26,8,5,3,23.6,11.8,4.3,10.8,39.5,1.9,5.5,34.1,1.4,1.9,73.3,0.1,1.6,1.8,3.9,0.9,1,1,2.3,24.8,0,0,5.1,109.5
142,Danilo Gallinari,ATL,32,24,10,14,21.9,11.7,3.4,8.6,39.1,2,5,38.8,3,3.2,93.4,0.2,3.2,3.4,1.5,1.1,0.5,0.1,1.9,18.9,0,0,1,74.2
143,Justin Holiday,IND,32,35,16,19,32.3,11.7,4,8.7,45.9,2.5,6.1,41.4,1.2,1.4,82,0.6,3.3,4,1.7,0.8,1.2,0.4,2.2,23.1,0,0,0.2,66
144,Otto Porter Jr.,ORL,28,16,7,9,23.2,11.6,4,9,44.4,1.8,4.4,40,1.9,2.3,83.3,1.3,5,6.3,2,0.9,0.6,0.2,1.6,23.4,2,0,-2.6,73.8
145,Will Barton,DEN,30,33,20,13,29.9,11.6,4.5,10.2,44.2,1.5,3.9,38.8,1.1,1.5,75.5,0.6,3.5,4.1,3.1,1.7,0.8,0.4,1.6,23,0,0,2.9,101.5
146,Davis Bertans,WAS,28,30,13,17,26.1,11.5,3.3,8.6,38.8,2.9,7.6,38.4,1.9,2.3,85.3,0.5,2.7,3.1,0.9,0.6,0.6,0.2,2.5,18.7,0,0,0,71.2
147,Joe Ingles,UTA,33,32,23,9,26.5,11.5,4,7.7,52.2,2.5,5.3,46.5,1.1,1.2,89.5,0.4,2.9,3.3,4.4,1.6,0.5,0.3,1.8,22.7,1,0,6,54.5
148,Kyle Kuzma,LAL,25,36,24,12,25.9,11.5,4.5,10.1,44.4,1.8,4.9,36.5,0.7,1.1,63.2,2.1,4.6,6.7,1.1,1.5,0.4,0.6,1.8,22.8,9,0,1.4,60
149,Dario Saric,PHX,27,17,12,5,18.1,11.5,4.1,8.4,48.3,1.4,3.6,37.7,2,2.2,91.9,0.8,3.2,4,1.3,1.2,0.8,0.2,1.9,20,0,0,9.2,77.5
150,Jeremy Lamb,IND,29,21,8,13,23.2,11.3,3.7,7.9,47.3,1.6,3.6,44.7,2.3,2.4,94.1,0.7,3,3.7,1.6,0.8,0.9,0.5,2.1,21.6,0,0,-2.1,62.5
151,Lonnie Walker IV,SAS,22,30,16,14,27.3,11.3,4.2,10.5,40.2,1.8,4.9,35.8,1.1,1.3,80,0.2,2.7,2.9,1.8,1.1,0.5,0.4,2.1,19.1,0,0,-4.4,108
152,Cam Reddish,ATL,21,26,10,16,28.9,11.2,3.7,10.1,36.5,1.3,4.8,26.2,2.6,3.2,81.7,0.8,3.2,4,1.3,1.3,1.3,0.3,2.6,21.6,0,0,-1.9,103.2
153,Rudy Gay,SAS,34,26,15,11,22,11.2,4.2,9.9,41.9,1.6,4.3,36.6,1.3,1.7,76.7,0.9,4.3,5.2,1.5,1.2,0.7,0.5,1.8,22.1,0,0,4.3,70.5
154,Alec Burks,NYK,29,25,13,12,24.7,11.1,3.7,9.1,40.5,1.9,4.7,40.2,1.9,2.2,83.9,0.5,3.8,4.3,2,1.1,0.7,0.2,1.9,21,0,0,3.1,104.8
155,Serge Ibaka,LAC,31,37,23,14,24,11.1,4.6,9,50.8,1,2.8,35.6,1,1.2,81.8,1.7,5,6.6,1.8,1.1,0.2,1.2,2,25.1,4,0,4.4,55
156,Cole Anthony,ORL,21,25,9,16,26.7,11,4,10.8,37.5,1.1,3.3,32.5,1.8,2.2,83.6,0.8,3.6,4.4,3.8,2,0.7,0.4,2,23.3,0,0,-4,57.5
157,Bobby Portis,MIL,26,36,22,14,21.5,10.9,4.6,8.4,54.6,1.1,2.1,50,0.6,0.9,69.7,1.9,5.2,7.1,1,0.8,0.8,0.4,1.9,23.9,4,0,3.4,71.8
158,Cedi Osman,CLE,26,35,13,22,25.8,10.9,3.9,10.4,37.3,2,6,33.2,1.1,1.4,79.6,0.7,3,3.7,2.7,1.1,0.9,0.1,2,21.1,1,0,-5.4,67.2
159,Wayne Ellington,DET,33,28,8,20,23.2,10.8,3.7,8.1,45.4,2.8,6.4,43.3,0.7,1,74.1,0.3,1.4,1.7,1.4,0.7,0.5,0.2,1.5,16.3,0,0,-1.9,71.8
160,Brook Lopez,MIL,33,36,22,14,27.1,10.8,3.9,8.4,46.7,1.5,4.4,34.8,1.4,1.7,82,1.4,3.7,5.1,0.6,0.9,0.5,1.3,2.1,22.5,1,0,4,58
161,Delon Wright,SAC,29,29,8,21,29.2,10.7,3.8,8.1,46.8,1,2.5,38.4,2.1,2.7,78.5,1.1,3.5,4.6,4.9,1.2,1.4,0.5,1.1,28.2,1,0,-1.4,76.2
162,Monte Morris,DEN,26,35,21,14,27.1,10.6,4.1,8.5,47.7,1.1,3.2,36,1.3,1.7,75.4,0.2,2,2.2,3.4,0.7,0.7,0.3,0.9,20.5,0,0,3.9,62.2
163,Cameron Johnson,PHX,25,34,23,11,24.2,10.4,3.7,8.4,43.7,2.1,5.7,37.8,0.9,1.1,86.5,0.6,2.8,3.4,1.4,0.8,0.6,0.3,1.4,18.6,0,0,5.8,71.5
164,Paul Millsap,DEN,36,26,15,11,23.9,10.4,3.8,7.3,52.4,1.2,3,41,1.6,2.3,69.5,1.6,3.6,5.2,1.7,1,0.8,0.5,2.1,22.2,1,0,1.4,76.5
165,Mason Plumlee,DET,31,34,9,25,28,10.4,4.3,7,60.7,0,0.2,0,1.9,2.8,67.4,2.8,6.4,9.1,3.8,2.1,0.8,0.9,3.5,30,9,2,-3.4,71.5
166,Donte DiVincenzo,MIL,24,36,22,14,26.7,10.3,3.9,9.3,41.8,1.9,4.9,38.4,0.6,0.9,63.6,1.2,3.5,4.7,3,1.2,1.1,0.2,1.5,23,1,0,6.4,51
167,Patrick Williams,CHI,19,33,15,18,28.5,10.2,3.8,8.1,47.4,0.9,2.3,39,1.6,2,78.8,0.9,3.9,4.8,1.2,1.5,0.7,0.8,2.3,20.7,2,0,-3.6,106.5
168,Jae Crowder,PHX,30,32,21,11,27.6,10.1,3.4,8.5,40.2,2.4,6.4,37.6,0.9,1.1,82.9,0.4,4.6,5,2.1,0.9,0.8,0.3,1.8,21.7,0,0,2.7,66
169,Dwayne Bacon,ORL,25,36,13,23,24.6,10.1,3.8,9.1,41.3,0.9,2.8,33.3,1.6,1.9,82.6,0.3,2.5,2.9,1,0.7,0.6,0.1,1.6,16.4,0,0,-5.8,76
170,Kelly Olynyk,HOU,30,35,17,18,26.5,10.1,3.8,8.5,44.1,1.9,5.7,32.8,0.6,0.9,73.3,0.9,4.9,5.9,2.1,1.3,0.8,0.5,2.8,23,1,0,1.8,80.2
171,De'Anthony Melton,MEM,23,20,10,10,20.4,10.1,3.8,8.1,47.2,1.7,3.9,42.3,0.8,1.1,76.2,0.5,2.6,3.1,2.9,1.3,1.2,0.7,1.7,22.6,0,0,4.6,90.8
172,Miles Bridges,CHA,23,35,17,18,26.8,10,3.8,7.7,49.1,1.3,3.4,38.3,1.2,1.3,93.2,1.3,4.4,5.7,2.1,1.7,0.7,0.7,2.4,22.6,6,0,0.3,59.5
173,Nic Claxton,BKN,22,5,4,1,15.1,10,4,5.8,69,0,0.2,0,2,2.8,71.4,0.8,2.6,3.4,1,0.4,1,1.4,1.6,22.4,0,0,4.2,86.2
174,Eric Paschall,GSW,24,34,18,16,17.6,9.9,3.9,7.8,49.4,0.4,1.3,28.9,1.8,2.5,71.8,0.8,2.5,3.3,1.3,1,0.3,0.1,1.7,15.9,0,0,-2.5,70
175,Saddiq Bey,DET,22,34,9,25,22.9,9.9,3.2,7.8,40.9,2.1,5.4,39.3,1.4,1.6,85.7,0.5,3.4,3.9,1.1,0.7,0.6,0,1.6,17.6,2,0,-2.5,83
176,Jae'Sean Tate,HOU,25,34,11,23,27.5,9.9,4,7.4,53.6,0.6,2,31.9,1.3,1.7,75.4,1.9,3.4,5.3,1.7,1.2,0.9,0.5,3.1,21.9,2,0,-2.1,78.5
177,Jusuf Nurkic,POR,26,12,7,5,23.4,9.8,4.2,8.6,48.5,0.3,1,25,1.3,2.3,55.6,1.9,5.8,7.7,2.8,1.9,0.9,0.9,2.8,26.7,4,0,1.3,64.5
178,Mike Muscala,OKC,29,34,14,20,18.6,9.7,3.4,7.7,44.1,2,5.4,36.8,0.9,1,91.4,0.6,3.2,3.8,0.8,0.6,0.2,0.3,1.6,16.5,0,0,0.1,124
179,Gary Harris,ORL,26,19,11,8,30.6,9.7,3.6,8.2,44.2,1.3,3.9,32,1.2,1.6,73.3,0.7,1.8,2.5,1.7,0.7,0.9,0.2,1.9,17.8,0,0,5.2,102
180,Cody Zeller,CHA,28,18,9,9,23.4,9.7,4.1,7.9,51.4,0.2,1.1,15.8,1.4,1.8,75.8,2.6,5,7.6,2.4,1.1,0.6,0.6,2.6,25,3,0,0.1,72
181,DeMarcus Cousins,LAC,30,25,11,14,20.2,9.6,3.2,8.4,37.6,1.6,4.6,33.6,1.8,2.4,74.6,1.2,6.4,7.6,2.4,1.6,0.8,0.7,3,25.5,6,0,-1.9,59.8
182,Desmond Bane,MEM,23,28,14,14,22.8,9.6,3.6,7.5,47.8,1.7,3.8,44.3,0.8,0.9,87.5,0.4,2.4,2.9,1.4,1,0.7,0.1,1.9,16.6,0,0,2.4,72.8
183,Jeff Green,BKN,34,33,20,13,26.4,9.5,3.4,6.8,50.7,1.5,3.5,42.2,1.2,1.5,79.6,0.5,3.1,3.6,1.4,0.8,0.7,0.2,1.9,17.9,0,0,1,57.5
184,Justise Winslow,MEM,25,6,3,3,22.3,9.5,4,10.7,37.5,0.5,2.5,20,1,1.7,60,0.8,4.3,5.2,1.5,1.7,0.5,0.7,3,19.8,0,0,2.7,89.5
185,Kevin Love,CLE,32,2,2,0,23.2,9.5,3,9,33.3,1.5,4.5,33.3,2,2.5,80,1,5,6,2.5,1.5,0.5,0,0.5,20.5,0,0,8,62.8
187,David Nwaba,HOU,28,28,8,20,22.9,9.4,3.6,7.4,48.1,0.6,2.3,27,1.6,2.4,69.7,1.3,2.4,3.7,1,0.6,1.1,0.7,2.1,20.1,1,0,-0.1,113.5
188,Bogdan Bogdanovic,ATL,28,11,6,5,22.6,9.4,3.2,8.3,38.5,2.1,6.1,34.3,0.9,1,90.9,0.2,3.3,3.5,2.2,1.2,0.4,0.2,1.9,17.2,0,0,-1.3,54.8
189,Bryn Forbes,MIL,27,36,22,14,18.7,9.3,3.4,7.2,46.7,2,4.5,44.8,0.6,0.8,74.1,0.2,1.1,1.3,0.6,0.5,0.2,0,1.1,11.9,0,0,0,77.8
190,Grayson Allen,MEM,25,23,11,12,24,9.3,2.9,7.1,40.9,2,4.9,40.7,1.5,1.7,89.5,0.3,2.5,2.8,2.2,0.9,1,0.1,1.3,18.4,0,0,1,62.8
191,Daniel Theis,CHI,29,34,18,16,24.3,9.3,3.6,6.5,56.4,0.8,2.1,37,1.2,1.8,66.7,1.3,3.7,5,1.4,1,0.6,1.1,2.9,21.5,1,0,2.2,61.2
192,Larry Nance Jr.,CLE,28,19,8,11,33.4,9.3,3.7,7.6,48.3,1.3,3.3,38.1,0.6,1.1,57.1,1.4,5.4,6.8,3.2,1.5,1.9,0.5,2.2,28.2,2,0,-2.2,62.8
193,Ty Jerome,OKC,23,4,2,2,24.9,9.3,3.8,7.5,50,1.8,4.8,36.8,0,0,0,0.8,2,2.8,3.3,0.5,0.8,0,3.5,19.2,0,0,-0.5,117.5
194,Josh Hart,NOP,26,36,15,21,28.7,9.2,3.2,7.1,44.7,1.4,4.1,33.3,1.5,1.9,75.7,1.1,6.3,7.3,2.1,0.8,0.8,0.3,2.4,23.4,5,0,-0.8,66.8
195,JaMychal Green,DEN,31,25,15,10,20.5,9.1,3.2,7.2,44.4,1.6,3.8,42.7,1.1,1.3,84.4,1.6,4.4,6,1,1,0.6,0.3,2.7,19.4,1,0,3.2,80
196,Danuel House Jr.,HOU,28,22,7,15,27.3,9.1,3.1,8.4,37.5,1.5,5,31.2,1.3,1.7,75.7,0.7,3.2,4,1.9,1,0.6,0.5,2,19.3,0,0,-7.9,87.5
197,Jaylen Nowell,MIN,21,22,3,19,16.7,9,3.2,7.7,41.8,1.1,3.3,34.7,1.4,1.7,83.8,0.5,1.5,1.9,1,0.5,0.5,0.2,1.8,14.2,0,0,-2.9,130.5
198,Michael Carter-Williams,ORL,29,17,9,8,26.4,9,3.4,8.5,40.3,0.5,1.8,25.8,1.7,2.2,76.3,1.6,3.2,4.8,4.1,1.9,0.6,0.5,2.9,22.4,0,0,2.1,83.2
199,Nicolas Batum,LAC,32,35,22,13,29.5,9,3.1,6.5,47.2,1.9,4.4,43.9,0.9,1,83.3,0.9,3.9,4.8,2.4,0.7,1.2,0.4,1.7,22.3,1,0,5.3,63.5
200,Garrett Temple,CHI,35,33,16,17,28.4,8.8,3.2,7.6,42.8,1.4,4,34.4,0.9,1.2,81.6,0.6,2.6,3.2,2.1,1,0.9,0.5,2.3,19.2,0,0,3.6,122.8
201,Reggie Jackson,LAC,31,35,21,14,20.3,8.7,3.3,7.1,45.6,1.3,3.3,40,0.9,1.2,75.6,0.4,2.2,2.6,2.9,1,0.6,0.1,1.9,17.2,0,0,1.1,62.8
202,JJ Redick,DAL,37,31,14,17,18.6,8.7,2.8,6.9,40.7,1.6,4.5,36.4,1.5,1.5,95.7,0.1,1.6,1.7,1.3,0.8,0.3,0.1,1.2,12.9,0,0,-1,63.8
203,Kentavious Caldwell-Pope,LAL,28,33,21,12,26.1,8.7,3,6.8,43.8,1.5,3.8,40.2,1.2,1.4,84.8,0.5,1.9,2.4,1.4,1,0.8,0.3,1.7,15.8,0,0,4.8,85
204,Isaiah Roby,OKC,23,30,12,18,21.3,8.6,3.3,6.3,52.1,0.6,1.8,34,1.4,1.9,72.4,1.5,3.9,5.4,1.8,1.3,0.8,0.6,2.7,20.6,2,0,-2.9,89.5
205,Bruce Brown,BKN,24,33,23,10,21.2,8.6,3.6,6.1,59,0.3,1,27.3,1.2,1.6,71.7,1.5,3.1,4.7,1.4,0.8,0.8,0.3,2.1,18.8,1,0,0.8,76.8
206,Reggie Bullock,NYK,30,32,18,14,26.3,8.5,3.1,7.6,40.6,1.7,4.6,37.2,0.6,0.8,83.3,0.3,3.1,3.4,1.3,0.7,0.6,0.2,2.2,16.4,0,0,0.6,86.2
207,Avery Bradley,HOU,30,10,4,6,21.1,8.5,3.1,6.6,47,1.6,3.8,42.1,0.7,0.9,77.8,0.2,1.6,1.8,1.4,0.9,0.7,0.1,2.6,14.3,0,0,-1.4,111.2
208,Patrick Beverley,LAC,32,28,18,10,24.2,8.5,2.8,6.3,44.6,1.8,4.1,42.2,1.1,1.4,79.5,1,2.9,3.8,2.1,1,0.9,0.8,3.2,20.4,0,0,5.7,49.2
209,Nemanja Bjelica,MIA,33,19,6,13,18,8.5,3.1,6.3,48.3,0.8,2.4,33.3,1.6,2,78.9,1.1,3.2,4.2,2.2,1.3,0.3,0.1,1.9,16.8,0,0,-1.8,76
210,Danny Green,PHI,34,36,24,12,28.3,8.5,2.9,7.5,39.3,2.2,5.9,37.6,0.4,0.6,65,0.9,2.7,3.6,1.7,1.3,1.3,0.8,1.8,20.1,1,0,2.9,60.2
211,Mitchell Robinson,NYK,23,27,12,15,28.8,8.4,3.8,5.8,66,0,0,0,0.8,1.7,47.8,3.6,4.8,8.4,0.5,0.8,1.2,1.5,2.9,26.6,4,0,-0.6,104.5
212,Taurean Prince,CLE,27,29,11,18,21.4,8.3,2.7,7.2,38,1.3,3.5,38.6,1.6,1.8,84.9,0.5,3.1,3.6,1.7,1.1,0.7,0.7,1.8,18.1,0,0,-3.3,132.5
213,Robin Lopez,WAS,33,34,14,20,20.3,8.3,3.3,5.6,58.9,0.1,0.4,30.8,1.6,2.2,69.7,2.3,1.9,4.3,0.9,1.1,0.3,0.6,1.9,16.4,2,0,-1.6,73
214,Hassan Whiteside,SAC,32,23,10,13,14.6,8.3,3.5,6,58,0,0,0,1.3,2.4,54.5,1.6,4.2,5.7,0.5,1,0.3,1.3,1.8,19.5,2,0,-3.4,88.5
215,Tyus Jones,MEM,25,32,16,16,21.6,8.3,3.5,7.8,44.2,0.8,2.7,29.4,0.5,0.6,85,0.5,2.1,2.5,4.6,0.9,1.3,0.1,0.4,21.4,2,0,-1.7,76.2
216,Nickeil Alexander-Walker,NOP,22,28,12,16,17.7,8.2,3.1,7.5,40.8,1.1,3.5,30.6,1,1.3,80,0.2,2.2,2.4,1.9,1.1,1,0.3,1.6,16.8,0,0,-1.5,57.2
217,Dorian Finney-Smith,DAL,28,25,14,11,31.5,8.2,3.1,7.2,42.8,1.6,4.8,34.5,0.4,0.5,83.3,1.4,3.7,5.1,1.4,0.6,1,0.4,2.7,20,0,0,0.4,68.5
218,Ivica Zubac,LAC,24,38,24,14,19.8,8.2,3.2,4.8,65.9,0,0,0,1.9,2.3,82.6,2.4,4.6,7,1.1,1,0.4,0.8,2.5,20.7,7,0,0.4,75.5
219,Anfernee Simons,POR,22,32,19,13,17,8.2,2.7,6.9,39.5,2,4.9,41.1,0.7,0.8,84.6,0.2,2.3,2.4,1.3,0.8,0.2,0.2,1.7,13.2,0,0,-3.7,121
220,Derrick Jones Jr.,POR,24,31,18,13,27,8.1,3,5.9,50.5,0.8,2.5,33.3,1.3,2,64.5,1.9,2.9,4.8,0.9,0.7,0.8,1.1,2.4,20,0,0,0.9,75
221,Isaac Okoro,CLE,20,31,12,19,33.2,8.1,3,7.3,41.3,0.9,3,30.1,1.2,1.7,67.9,1,1.7,2.7,1.9,1.5,1.2,0.5,3.1,17.6,0,0,-6.2,114.8
222,Furkan Korkmaz,PHI,23,25,17,8,18.7,8,2.8,7.2,38.3,1.6,4.5,34.5,1,1.2,80,0.2,2.2,2.4,0.8,1,0.6,0.2,1.2,13.5,0,0,1,102.2
223,Denzel Valentine,CHI,27,30,14,16,19.7,8,3.1,8.3,37.5,1.6,4.7,34.8,0.2,0.2,100,0.4,3.7,4.1,1.8,0.6,0.7,0,1.2,17.3,0,0,2.7,124.8
224,Steven Adams,NOP,27,33,14,19,27.8,8,3.5,5.7,61.5,0,0,0,1.1,2.4,44.3,4,4.9,8.9,2.1,1.5,0.9,0.6,1.9,24.8,8,1,0.5,49.8
225,Ricky Rubio,MIN,30,34,7,27,25.4,8,2.7,6.9,39,0.8,2.4,32.9,1.8,2.2,82.4,0.4,2.7,3.1,6.4,2.1,1.2,0,2.3,23,1,0,-4.9,95
226,Tyrese Maxey,PHI,20,32,21,11,16.2,8,3.4,7.6,45,0.5,1.7,27.3,0.7,0.8,88,0.3,1.6,1.9,1.8,0.7,0.5,0.2,1.3,14.1,0,0,-4,109.2
227,Tristan Thompson,BOS,30,34,17,17,22.8,7.9,3.3,6.1,53.1,0,0.1,0,1.4,2.2,63.2,3.1,5.2,8.3,1,0.9,0.4,0.4,2.1,20.7,4,0,-0.3,63
228,Robert Covington,POR,30,33,21,12,31.9,7.9,2.8,7.4,37.4,1.7,5.2,33.3,0.7,0.8,82.1,0.8,5.8,6.6,1.7,1.2,1.6,1.2,2.6,25.5,3,0,3.3,78
229,Raul Neto,WAS,29,29,12,17,20.4,7.9,3,6.8,44.9,1,2.6,37.3,0.9,1,83.3,0.4,1.8,2.3,2.1,0.7,1.1,0.1,1.3,16.6,0,0,-1.3,99.8
230,Gorgui Dieng,SAS,31,22,9,13,16.9,7.9,2.5,4.9,51.9,1,2.2,47.9,1.7,2,88.4,1.3,3.2,4.5,1.3,1,0.8,0.6,1.7,18.4,0,0,-0.5,84.5
231,Landry Shamet,BKN,24,33,21,12,19.7,7.8,2.5,6.5,38.4,1.8,4.9,35.8,1,1.2,86.8,0.2,1.7,1.8,1.1,0.8,0.5,0.2,1.3,12.7,0,0,-1,123.2
232,Theo Maledon,OKC,20,31,14,17,25.7,7.8,2.8,7,39.4,1.5,4.1,35.4,0.8,1,75,0.2,2.7,3,3.3,1.8,1,0.1,2.2,17.7,1,0,-5.2,71.8
233,Payton Pritchard,BOS,23,30,16,14,21.4,7.7,2.9,6.3,45.7,1.4,3.4,40.2,0.6,0.6,94.4,0.5,1.8,2.3,2.3,1.1,0.6,0.2,2,15.1,0,0,0.8,102.8
