ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus/Minus,AllStarRank
354,Wesley Matthews,LAL,34,30,17,13,20.2,4.2,1.4,3.9,35.6,1,3.1,33.7,0.4,0.5,80,0.4,1.1,1.5,1.1,0.5,0.5,0.4,1.4,9.8,0,0,-1,64.2
355,Lamar Stevens,CLE,23,24,9,15,14.4,4.2,1.6,3.9,40.4,0.1,0.7,11.8,1,1.3,71.9,0.5,2.1,2.6,1,0.6,0.5,0.3,1.5,10.5,0,0,-4,143
356,Sekou Doumbouya,DET,20,32,8,24,13.7,4.2,1.6,4.4,35.5,0.5,1.9,25,0.6,0.8,73.1,0.5,1.8,2.3,0.7,0.6,0.4,0.1,1.6,8.8,0,0,-3.2,83.5
357,Aaron Nesmith,BOS,21,18,9,9,15.6,4.2,1.4,3.5,39.7,0.9,2.7,35.4,0.4,0.7,66.7,0.6,1.9,2.4,0.4,0.6,0.2,0.3,2.1,8.4,0,0,1.4,140.8
358,John Konchar,MEM,25,19,10,9,16.2,4.2,1.5,3.5,42.4,0.4,1.2,30.4,0.8,0.9,88.9,0.9,2.6,3.6,1.2,0.4,0.9,0.3,1.4,13.5,0,0,-0.8,118
359,Mychal Mulder,GSW,27,34,16,18,10.6,4.1,1.4,3.2,43.5,1.1,2.7,40.9,0.2,0.4,53.3,0,0.9,0.9,0.4,0.2,0.2,0.2,0.8,7,0,0,1.4,115.5
360,Troy Brown Jr.,CHI,21,17,5,12,13.6,4.1,1.5,4.2,36.6,0.6,2.2,28.9,0.4,0.7,58.3,0.5,2.5,3,0.8,0.7,0.1,0.1,1.5,8.9,0,0,-2.5,96.8
361,Devon Dotson,CHI,21,1,0,1,9.5,4,2,4,50,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5.2,0,0,-2,138.8
362,Jabari Parker,BOS,26,2,0,2,12.5,4,2,3.5,57.1,0,0.5,0,0,0,0,0.5,2.5,3,0.5,1.5,0,0.5,2,8.4,0,0,-8.5,143.5
363,Jordan Bone,ORL,23,14,2,12,14,4,1.6,3.9,42.6,0.7,2.3,31.3,0,0,0,0.3,1.4,1.7,1.3,0.2,0.1,0,0.8,8.2,0,0,-4.2,91.2
364,Kevon Looney,GSW,25,27,14,13,14.9,3.9,1.6,2.7,59.5,0.1,0.2,33.3,0.6,0.8,76.2,1.8,2.4,4.2,1.6,0.6,0.4,0.3,1.9,12.7,0,0,2.1,114.5
365,Tony Bradley,OKC,23,12,5,7,10.6,3.9,1.8,3.3,56.4,0,0.1,0,0.3,0.4,60,1.8,2.4,4.2,0.5,0.1,0.3,0.6,0.9,12.1,1,0,-0.1,88.8
366,Sean McDermott,MEM,24,8,4,4,15.7,3.9,1.3,2.9,43.5,0.6,1.9,33.3,0.8,0.8,100,0.5,1,1.5,0.5,0.5,0.1,0.3,0.8,7.1,0,0,-5.8,113
367,Skylar Mays,ATL,23,16,7,9,8.3,3.9,1.2,3.1,38.8,0.5,1.4,34.8,1,1.1,88.9,0.4,0.4,0.8,1.1,0.3,0.4,0,0.4,7.3,0,0,1.2,104.8
368,Chris Silva,SAC,24,6,2,4,8.8,3.8,1,1.5,66.7,0.2,0.2,100,1.7,2,83.3,1.2,1.8,3,1,1.3,0.2,0.3,2.3,9.1,0,0,-1,145
369,Dante Exum,HOU,25,6,3,3,19.4,3.8,1.7,4.3,38.5,0.3,1.8,18.2,0.2,0.3,50,0.3,2.5,2.8,2.2,1.2,0.7,0.3,1.5,12.3,0,0,1,118.5
370,Isaiah Hartenstein,CLE,23,26,13,13,9.3,3.8,1.5,2.9,51.3,0,0,0,0.8,1.3,58.8,1.4,1.4,2.8,0.5,0.7,0.4,0.6,2,10.1,0,0,1.7,144.5
371,Goga Bitadze,IND,21,16,5,11,9.2,3.8,1.5,2.9,51.1,0.1,0.9,13.3,0.6,0.8,76.9,0.7,1.3,2,0.3,0.5,0.2,0.9,1.6,9.4,0,0,0.3,85.2
372,Taj Gibson,NYK,36,12,8,4,15.1,3.8,1.5,2.6,58.1,0.2,0.6,28.6,0.6,1,58.3,1.5,2.8,4.3,0.5,0.6,0.4,0.3,1.9,11.3,0,0,2.8,86.8
374,Drew Eubanks,SAS,24,15,6,9,12,3.7,1.4,3.4,41.2,0,0,0,0.9,1.3,70,0.6,2.5,3.1,0.6,0.5,0.1,1.1,1.3,11.2,0,0,-2.6,98.5
375,D.J. Wilson,HOU,25,11,8,3,9,3.6,1.4,3.7,36.6,0.8,2.4,34.6,0.1,0.2,50,0.3,1.8,2.1,0.3,0.4,0.1,0.4,1.1,7.6,0,0,-3.1,97.2
376,Paul Reed,PHI,22,5,2,3,11.1,3.6,1.8,4.4,40.9,0,0.6,0,0,0,0,1.4,0.6,2,0.6,1,0.2,0.8,0.8,8.9,0,0,3.4,133.5
377,Rajon Rondo,LAC,35,20,10,10,15,3.6,1.5,3.7,39.2,0.7,1.7,38.2,0.1,0.1,50,0.2,2,2.2,3.5,1.4,0.6,0.1,0.9,12.2,0,0,-3.2,98.8
378,Reggie Perry,BKN,21,14,10,4,10.5,3.6,1.5,3.6,41.2,0.1,0.9,16.7,0.4,0.6,66.7,1.2,2.4,3.6,0.9,0.8,0.1,0.4,1.9,9.9,1,0,-2.1,92.8
379,Zeke Nnaji,DEN,20,23,16,7,10.8,3.6,1.3,2.7,50.8,0.7,1.6,41.7,0.2,0.3,71.4,0.4,1,1.4,0.1,0.2,0.1,0.1,0.7,5.9,0,0,-0.9,150
380,Chris Chiozza,BKN,25,15,8,7,9.1,3.5,1.1,3.1,36.2,0.6,1.5,39.1,0.7,0.9,76.9,0.2,0.9,1.1,2.4,0.7,0.3,0.3,0.7,9.3,0,0,-1,128.8
381,Dean Wade,CLE,24,28,11,17,11.4,3.4,1.2,2.6,44.6,0.8,1.9,42.3,0.3,0.4,66.7,0.5,1.7,2.1,0.6,0.4,0.2,0.2,0.8,7.7,0,0,-0.4,133
382,Cody Martin,CHA,25,23,12,11,11.6,3.4,1.4,2.8,51.6,0.2,0.9,20,0.3,0.4,80,0.8,1.5,2.3,1,0.7,0.5,0.2,0.6,9.2,0,0,0.1,140.2
383,Ryan Arcidiacono,CHI,27,18,10,8,11,3.4,1.2,2.8,42,0.6,1.8,34.4,0.4,0.5,88.9,0.1,1.7,1.8,1.3,0.2,0.3,0,0.9,8.1,0,0,2.1,71.8
384,Chimezie Metu,SAC,24,11,4,7,6.5,3.4,1.4,2.7,50,0.1,0.3,33.3,0.5,0.8,66.7,1,1.1,2.1,0.5,0.5,0.3,0.5,0.9,8.5,0,0,-1.7,154.5
385,Gary Clark,PHI,26,30,8,22,19.1,3.3,1.1,3.7,29.5,0.9,3.2,27.4,0.3,0.3,88.9,1,2.2,3.2,0.8,0.5,0.4,0.2,1,9.6,0,0,-3,101.2
387,Meyers Leonard,MIA,29,3,2,1,9.8,3.3,1,2.3,42.9,1,2.3,42.9,0.3,0.7,50,0,2.3,2.3,0.7,0.7,0,0,1.7,6.5,0,0,-1.3,126.5
388,Tremont Waters,BOS,23,10,5,5,9.8,3.3,1,3.1,32.3,0.6,1.5,40,0.7,0.8,87.5,0.2,0.6,0.8,3,1.3,0.6,0,0.6,9.3,0,0,-1.4,144.8
389,Aleksej Pokusevski,OKC,19,17,7,10,17.4,3.3,1.4,5.5,24.7,0.6,3.3,17.9,0,0,0,0.3,3.2,3.5,1.2,1.3,0.5,1.1,0.9,12.9,0,0,-4.6,85
390,Kenyon Martin Jr.,HOU,20,7,4,3,9.8,3.3,1.4,3.9,37,0.1,0.6,25,0.3,0.7,40,1.1,1.6,2.7,0.6,0.7,0.3,0.7,1.3,9.7,0,0,3.4,149
391,Onyeka Okongwu,ATL,20,16,8,8,10,3.2,1.3,2.3,56.8,0,0.1,0,0.6,0.9,60,0.8,1.7,2.4,0.3,0.5,0.4,0.4,1.6,8.5,0,0,-1.3,138
392,Matisse Thybulle,PHI,24,33,23,10,18.1,3.1,1.2,3.2,36.8,0.5,2,26.2,0.2,0.4,57.1,0.4,1.1,1.5,0.9,0.4,1.4,0.9,2,12.8,0,0,0.1,106.2
393,Harry Giles III,POR,23,22,13,9,11.8,3.1,1.2,2.8,41.9,0.1,0.4,37.5,0.6,0.8,72.2,1.1,3.8,4.9,0.9,0.7,0.2,0.4,2,11.5,0,0,-3.5,93.2
394,Brian Bowen II,IND,22,1,0,1,5.1,3,1,2,50,0,0,0,1,1,100,0,1,1,0,0,0,0,0,4.2,0,0,-7,133.2
395,CJ Elleby,POR,21,13,8,5,8.1,3,1.1,2.4,45.2,0.4,1.5,26.3,0.5,0.7,66.7,0.3,0.8,1.1,0.2,0.2,0.3,0.2,1.4,6,0,0,-0.8,88.8
396,Moses Brown,BOS,21,7,1,6,4.5,3,1,1.4,70,0,0,0,1,2,50,0.6,1.6,2.1,0.4,0.1,0.1,0.6,0.6,8.2,0,0,-1.6,146
397,Kyle Guy,SAC,23,14,3,11,8.2,2.9,1,3.1,31.8,0.4,1.7,25,0.5,0.6,87.5,0.2,0.8,1,1.1,0.2,0.3,0,0.6,6.4,0,0,1.8,74.8
398,Stanley Johnson,TOR,25,32,16,16,13.8,2.9,1,2.5,39.2,0.6,1.6,40,0.3,0.4,78.6,0.5,1.7,2.2,1.3,0.7,0.8,0.3,1.5,9.8,0,0,-1.4,129.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Darius Miller,OKC,31,12,3,9,9.2,2.8,0.9,2,45.8,0.8,1.8,42.9,0.3,0.3,100,0.1,1.2,1.3,0.8,0.4,0.4,0.3,0.8,7.4,0,0,2,116.5
401,Amir Coffey,LAC,24,20,14,6,7.7,2.8,1.1,2,52.5,0.6,1.1,52.4,0.2,0.5,33.3,0.2,0.6,0.8,0.4,0.4,0.2,0,0.6,4.5,0,0,-1.6,153
402,Nathan Knight,ATL,23,10,6,4,5.8,2.8,0.9,2.3,39.1,0.3,0.9,33.3,0.7,0.8,87.5,0.8,0.7,1.5,0.1,0.5,0.2,0.3,0.7,5.8,0,0,-1.4,147
403,Yuta Watanabe,TOR,26,22,14,8,12.2,2.7,0.9,2.7,33.3,0.5,1.5,36.4,0.4,0.4,100,0.8,2.4,3.2,0.4,0.4,0.4,0.5,1,9.6,0,0,-0.4,107
404,Jevon Carter,PHX,25,29,20,9,10,2.7,1,2.9,35.7,0.6,2,29.8,0.1,0.1,100,0.1,1.2,1.3,1.2,0.2,0.4,0.2,1.1,8,0,0,-0.2,107.5
405,Elijah Hughes,UTA,23,6,5,1,4.5,2.7,0.8,2.5,33.3,0.5,1.7,30,0.5,0.7,75,0,0.7,0.7,0.5,0.7,0.2,0.2,0,4.6,0,0,-4,130
406,Tacko Fall,BOS,25,8,5,3,7.1,2.6,1.1,1.6,69.2,0,0,0,0.4,1,37.5,1,1.6,2.6,0.1,0.1,0,1.3,1.3,9.6,0,0,4.9,50.5
407,Keita Bates-Diop,SAS,25,13,6,7,8.2,2.6,0.8,2.4,35.5,0.4,1.1,35.7,0.5,0.6,87.5,0.4,1.1,1.5,0.5,0.1,0.5,0.1,0.4,6.7,0,0,-2.7,101.5
408,JaKarr Sampson,IND,28,15,7,8,6.5,2.6,1,2.1,46.9,0.1,0.3,20,0.5,0.7,80,0.5,1.4,1.9,0.1,0.4,0.1,0.2,0.7,5.6,0,0,2.1,142.5
409,Luke Kornet,BOS,25,10,5,5,8.3,2.6,0.9,2.6,34.6,0.6,2.2,27.3,0.2,0.2,100,0.1,1.4,1.5,0.4,0.1,0.2,0.6,0.1,7.3,0,0,2.5,140.5
410,Nico Mannion,GSW,20,7,3,4,9.6,2.6,0.9,3.3,26.1,0.7,2,35.7,0.1,0.6,25,0,1.7,1.7,2.6,1,0.4,0,1.1,8.8,0,0,1,105
411,Torrey Craig,PHX,30,17,8,9,11.4,2.5,1,2.5,39.5,0.5,1.2,38.1,0.1,0.1,50,0.8,1.7,2.5,0.8,0.3,0.5,0.4,1.4,9,0,0,-3.6,95.8
412,Matt Thomas,UTA,26,21,12,9,6.9,2.5,0.9,2.2,39.1,0.6,1.5,38.7,0.2,0.3,83.3,0,0.6,0.7,0.4,0.2,0.1,0,0.4,4,0,0,-1.6,126.2
413,Brodric Thomas,CLE,24,4,1,3,6,2.5,0.5,1.8,28.6,0.3,1.5,16.7,1.3,1.8,71.4,0.3,0.8,1,1,1,0.3,0.3,1.3,5.7,0,0,2.5,132.5
414,R.J. Hampton,ORL,20,24,14,10,9.2,2.5,1,2.4,41.4,0.2,0.8,27.8,0.3,0.4,70,0.4,1.5,2,0.5,0.5,0.2,0.1,0.9,6,0,0,-3,115
415,Josh Green,DAL,20,17,6,11,12.5,2.5,1,2.1,47.2,0.1,0.7,16.7,0.4,0.6,54.5,0.7,1.6,2.3,0.6,0.6,0.2,0.1,0.9,6.3,0,0,-0.4,117
416,Alfonzo McKinnie,LAL,28,18,12,6,4.6,2.3,0.9,1.7,53.3,0.3,0.7,41.7,0.3,0.4,62.5,0.4,0.7,1.1,0.1,0.1,0.1,0,0.4,4,0,0,-1.4,147.5
417,Thanasis Antetokounmpo,MIL,28,26,18,8,8.7,2.3,1,1.7,60.5,0.1,0.3,22.2,0.2,0.5,46.2,1,1.1,2.1,0.7,0.7,0.3,0.2,1.3,6.8,0,0,-1.9,62.5
418,Ed Davis,MIN,32,19,4,15,13.9,2.3,0.9,2.3,41.9,0,0,0,0.4,0.4,87.5,2,3.1,5.1,1,0.3,0.5,0.5,2.6,12.7,0,0,-3.4,100.5
419,Norvel Pelle,NYK,28,4,1,3,7.9,2.3,0.8,2,37.5,0,0,0,0.8,1,75,1,1,2,0.3,0.8,0,0.8,2.5,6.5,0,0,-1.5,125.5
420,Malachi Flynn,TOR,23,15,11,4,8.4,2.2,0.8,3,26.7,0.3,1.7,19.2,0.3,0.4,66.7,0.1,0.7,0.7,1.1,0.3,0.3,0,0.8,5.2,0,0,-2.2,134.2
421,Cassius Winston,WAS,23,6,1,5,7.3,2.2,0.7,1.7,40,0.5,1.2,42.9,0.3,0.3,100,0,0.7,0.7,1,0.2,0,0.2,0.7,4.8,0,0,-3.8,132.8
423,Isaac Bonga,WAS,21,22,6,16,12.3,2.1,0.8,2,37.8,0.5,1.3,34.5,0.1,0.2,75,0.4,1.6,2,0.6,0.4,0.3,0.2,1.5,6.5,0,0,-0.8,70.8
424,Quinn Cook,CLE,28,16,11,5,3.9,2.1,0.8,1.6,46.2,0.3,0.8,38.5,0.3,0.3,80,0,0.3,0.3,0.3,0.2,0.1,0.1,0.1,3.1,0,0,-0.3,65.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Daniel Oturu,LAC,21,10,8,2,4.2,2,0.9,1.5,60,0,0.1,0,0.2,0.2,100,0.5,0.9,1.4,0.4,0.2,0,0.3,0.6,5,0,0,1.2,156.5
427,Devontae Cacok,LAL,24,4,1,3,4.3,2,1,1,100,0,0,0,0,0.5,0,0.3,1,1.3,0,0.5,0.5,0,0,4.5,0,0,2,134
428,KZ Okpala,MIA,22,19,11,8,10.5,2,0.7,2.1,35,0.4,1.3,33.3,0.1,0.3,33.3,0.4,1.1,1.5,0.4,0.5,0.2,0.2,1.3,5,0,0,-3.4,100.5
430,Tre Jones,SAS,21,12,5,7,3.6,2,0.8,1.3,60,0.1,0.1,100,0.4,0.4,100,0.3,0,0.3,0.3,0.3,0,0,0.3,2.4,0,0,-1.6,122.5
431,Wes Iwundu,NOP,26,20,9,11,12.3,2,0.7,2.4,29.8,0.2,1.2,13,0.5,0.6,81.8,0.3,1.5,1.8,0.4,0.3,0.4,0.2,1,6,0,0,-2.2,152
432,Bol Bol,DEN,21,15,10,5,5.6,1.9,0.7,1.5,50,0.3,0.7,50,0.1,0.1,50,0,0.7,0.7,0.3,0.5,0.1,0.3,0.6,4,0,0,-2.7,64
433,Chandler Hutchison,WAS,25,7,2,5,9.1,1.9,0.7,2.6,27.8,0.1,0.4,33.3,0.3,0.3,100,0.1,2.7,2.9,0.6,0.7,0.1,0,1.3,5.9,0,0,1.6,144.2
434,Cristiano Felicio,CHI,28,6,1,5,6.4,1.8,0.5,0.7,75,0,0,0,0.8,1.3,62.5,1,1,2,0.8,0.5,0.3,0,0.5,6,0,0,0.5,119.5
435,Paul Watson,TOR,26,16,9,7,4.6,1.8,0.6,1.3,50,0.6,1.1,52.9,0,0,0,0.1,0.8,0.9,0.1,0.1,0,0.1,0.6,3.4,0,0,-1.9,142
436,Frank Jackson,DET,23,9,3,6,6,1.8,0.7,2.4,27.3,0.4,1.4,30.8,0,0,0,0,0.9,0.9,1.1,0.4,0.1,0,0.6,4.4,0,0,1.3,139.8
437,Miye Oni,UTA,23,26,24,2,7.9,1.8,0.5,1.5,36.8,0.5,1.3,39.4,0.2,0.2,83.3,0.5,1.2,1.8,0.2,0.3,0.1,0.2,1.1,4.8,0,0,0.9,129
438,Bruno Fernando,ATL,22,18,10,8,8.4,1.7,0.6,1.4,44,0,0.1,0,0.5,0.8,60,0.7,2.6,3.3,0.5,0.8,0.1,0.1,0.9,6.3,0,0,-0.3,100.2
439,Josh Hall,OKC,20,7,0,7,7.3,1.7,0.6,2.6,22.2,0.1,1.1,12.5,0.4,1,42.9,0.1,1.1,1.3,1,0.6,0,0,1,4.2,0,0,-3,156
440,Nicolo Melli,DAL,30,17,7,10,11,1.7,0.5,2.4,22.5,0.4,1.9,21.2,0.2,0.3,80,0.2,2.1,2.2,0.9,0.4,0.5,0.1,1.3,7,0,0,1.7,135.5
441,Justin James,SAC,24,13,2,11,5.3,1.7,0.7,1.8,39.1,0.2,0.7,22.2,0.2,0.6,25,0.2,0.5,0.7,0.4,0.2,0.2,0.1,0.2,3.9,0,0,-0.3,116.5
442,Jalen Lecque,IND,21,3,2,1,2.9,1.7,0.3,1.3,25,0,0.3,0,1,1,100,0.3,1,1.3,0.7,0,0,0,0,4.3,0,0,-1,103.2
443,Adam Mokoka,CHI,22,7,1,6,6.1,1.6,0.7,2,35.7,0.1,1.1,12.5,0,0,0,0.1,0.4,0.6,0.6,0.3,0.3,0.1,0.7,4.1,0,0,-1.6,143.2
444,Kelan Martin,IND,25,12,6,6,4,1.5,0.6,1.7,35,0.2,0.8,22.2,0.2,0.2,100,0.1,0.9,1,0,0.3,0.3,0,0.4,3.1,0,0,0.4,146
445,Killian Tillie,MEM,23,2,2,0,10.5,1.5,0.5,2,25,0.5,1,50,0,0,0,0.5,0.5,1,0,0.5,0.5,0,2.5,3.7,0,0,-2.5,98
446,Tyler Bey,DAL,23,4,1,3,3.1,1.5,0.5,1.3,40,0,0,0,0.5,1,50,0.5,0.3,0.8,0,0,0,0.3,0.5,3.2,0,0,-4.5,145.5
447,Vlatko Cancar,DEN,24,20,13,7,6.1,1.5,0.6,1.4,39.3,0.2,0.7,21.4,0.3,0.3,83.3,0.2,1.2,1.4,0.3,0.5,0.4,0.1,0.6,4.5,0,0,-2.2,124.5
448,Sam Merrill,MIL,25,13,8,5,5.9,1.5,0.5,1.3,35.3,0.4,0.8,45.5,0.2,0.2,100,0.3,0.8,1.1,0.8,0.2,0.2,0,0.5,4.3,0,0,-1.2,121.2
449,Jalen Smith,PHX,21,11,7,4,5.2,1.5,0.6,1.7,36.8,0.2,0.7,25,0,0.2,0,0.5,0.5,1,0.2,0.1,0,0.2,0.4,3.4,0,0,-1.2,152
450,Nick Richards,CHA,23,8,5,3,2.9,1.4,0.4,0.8,50,0,0,0,0.6,0.8,83.3,0.3,0.5,0.8,0,0.1,0,0,0.5,2.2,0,0,2.4,105.8
451,Sindarius Thornwell,ORL,26,11,5,6,4.8,1.4,0.5,1.2,46.2,0.3,0.5,50,0,0.2,0,0.1,0.2,0.3,0.2,0.2,0.4,0,0.3,2.9,0,0,2.5,132
452,Nate Hinton,DAL,22,6,1,5,3.1,1.3,0.5,2.2,23.1,0.2,0.8,20,0.2,0.3,50,0,0,0,0,0.3,0.2,0.2,0.2,2,0,0,-3.7,133
454,Jahmi'us Ramsey,SAC,20,4,0,4,3.9,1.3,0.5,1,50,0.3,0.8,33.3,0,0,0,0,1,1,0.3,0.3,0,0.3,0,3.3,0,0,2.3,131
456,Maurice Harkless,SAC,28,10,4,6,10.9,1.2,0.4,1,40,0.4,0.8,50,0,0.2,0,0.1,0.8,0.9,0.7,0.2,0.2,0.3,1.2,4.6,0,0,-3.5,136.5
457,Karim Mane,ORL,21,6,2,4,9.3,1.2,0.2,1.5,11.1,0.2,0.3,50,0.7,0.7,100,0,1.7,1.7,0.2,0.5,0,0.2,0.5,3.4,0,0,-3.5,106.2
458,Marques Bolden,CLE,23,6,2,4,4.8,1.2,0.2,0.5,33.3,0,0,0,0.8,1.3,62.5,0.5,0.5,1,0,0.3,0.3,0.3,0,4,0,0,0.8,130
459,Cassius Stanley,IND,21,8,5,3,2.9,1.1,0.3,0.9,28.6,0.1,0.3,50,0.5,0.6,80,0.3,0.1,0.4,0,0.1,0,0.3,0.9,2.2,0,0,-0.3,103.8
460,Jarrell Brantley,UTA,25,10,9,1,2.8,1.1,0.4,1,40,0.3,0.7,42.9,0,0,0,0.2,0.5,0.7,0,0.1,0.1,0.1,0.4,2.4,0,0,-1.4,110
461,Juwan Morgan,UTA,24,15,13,2,4.7,1.1,0.4,0.9,42.9,0.2,0.7,30,0.1,0.3,20,0.3,0.7,0.9,0.3,0.1,0.2,0,0.8,3.1,0,0,-2.9,113.5
462,Iman Shumpert,BKN,31,2,1,1,5.5,1,0.5,2,25,0,1.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,2.6,0,0,-0.5,124.2
463,Jared Harper,NYK,23,2,1,1,2.6,1,0,0.5,0,0,0,0,1,1,100,0,0,0,0,1,0,0,0,0,0,0,-1.5,99.2
464,Kostas Antetokounmpo,LAL,23,3,2,1,6.4,1,0.3,1,33.3,0,0,0,0.3,0.7,50,0.7,2,2.7,0,1.7,0.3,0.7,1,5.5,0,0,-1,57.5
465,Mfiondu Kabengele,CLE,23,20,16,4,4.1,1,0.4,1.3,26.9,0.2,0.8,20,0.2,0.2,75,0.1,0.5,0.6,0.3,0.3,0.1,0.2,0.7,2.5,0,0,-0.4,103.5
466,Rodions Kurucs,MIL,23,16,7,9,5.7,1,0.4,1.5,25,0.2,1.1,17.6,0.1,0.1,50,0.1,0.8,0.9,0.4,0.6,0.4,0.3,0.5,3.9,0,0,-0.6,136.5
467,Shaquille Harrison,DEN,27,17,15,2,3.3,1,0.4,1.2,30,0,0.1,0,0.3,0.4,83.3,0.2,0.4,0.5,0.5,0.3,0.1,0,0.2,2.5,0,0,-3.2,126
468,Tyrell Terry,DAL,20,11,2,9,5.1,1,0.5,1.5,31.3,0,0.6,0,0.1,0.3,33.3,0,0.5,0.5,0.5,0.2,0.5,0,0.2,3.7,0,0,0,128.5
469,Udoka Azubuike,UTA,21,12,11,1,4.1,1,0.3,0.6,57.1,0,0,0,0.3,0.5,66.7,0.3,0.8,1.1,0,0.3,0.1,0.3,0.7,3.3,0,0,-5.2,93
470,Vernon Carey Jr.,CHA,20,3,2,1,2.1,1,0.3,1,33.3,0,0.3,0,0.3,0.7,50,0.7,0.3,1,0.3,0,0,0.3,0,3.7,0,0,1.3,97.8
471,Markus Howard,DEN,22,17,10,7,3.2,0.9,0.4,1.8,19.4,0.2,1.3,13.6,0.1,0.1,50,0,0.3,0.3,0.4,0.2,0.1,0,0.4,1.9,0,0,-2.5,120
472,Anthony Gill,WAS,28,12,3,9,5.6,0.8,0.3,0.8,30,0.1,0.6,14.3,0.3,0.3,75,0.3,1.3,1.6,0.3,0.3,0.3,0.2,0.3,4.2,0,0,-2.8,96.8
473,Quinndary Weatherspoon,SAS,24,5,2,3,4.8,0.8,0.2,1,20,0,0.2,0,0.4,0.4,100,0,0.4,0.4,0.6,1.2,0.2,0,1.4,1.6,0,0,-7.4,116
474,Vincent Poirier,PHI,27,6,4,2,3.6,0.7,0.2,0.7,25,0,0,0,0.3,0.7,50,0.3,0.3,0.7,0.2,0.3,0,0.3,0.3,2.4,0,0,-2.2,93.8
475,Jared Dudley,LAL,35,11,6,5,6.9,0.5,0.2,0.6,28.6,0.2,0.5,40,0,0,0,0.4,1.4,1.7,0.5,0.2,0.1,0.1,0.6,3.7,0,0,0.3,82.5
476,Ignas Brazdeikis,ORL,22,4,2,2,1.8,0.5,0,0.3,0,0,0,0,0.5,0.5,100,0.3,0.3,0.5,0.3,0.3,0,0,0,1.2,0,0,-1.5,119
478,Keljin Blevins,POR,25,9,4,5,5.2,0.4,0.2,1.2,18.2,0,0.4,0,0,0,0,0,0.2,0.2,0.4,0.3,0.2,0,0.4,1.7,0,0,-1,113
479,Naji Marshall,NOP,23,3,0,3,2.8,0.3,0,0.7,0,0,0.3,0,0.3,0.7,50,0,0.7,0.7,0.3,0,0,0,0,1.6,0,0,5,151
480,Jaylen Adams,MIL,25,7,5,2,2.6,0.3,0.1,1.1,12.5,0,0.3,0,0,0,0,0,0.4,0.4,0.3,0,0,0,0.1,1.2,0,0,-1.7,57.8
481,Trent Forrest,UTA,23,7,6,1,2.8,0.3,0,0.4,0,0,0.3,0,0.3,0.3,100,0,0.3,0.3,0.6,0.1,0.3,0,0.3,2.2,0,0,-2.4,127.5
482,Terrance Ferguson,PHI,23,9,6,3,3.7,0.2,0.1,0.6,20,0,0.3,0,0,0,0,0,0.1,0.1,0.2,0.3,0,0,0.6,0.4,0,0,-1.8,130.8
483,Deividas Sirvydis,DET,21,5,3,2,1.6,0.2,0,0.6,0,0,0.6,0,0.2,0.4,50,0,0.2,0.2,0.2,0,0,0,0.2,0.7,0,0,1.2,107.2
484,Theo Pinson,NYK,25,11,5,6,2.3,0.2,0.1,0.6,14.3,0,0.5,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0.3,0.4,0,0,-2.1,131.8
486,Ashton Hagans,MIN,21,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,-0.5,0,0,-1.5,126.5
487,Greg Whittington,DEN,28,2,2,0,4.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,137.5
488,Jalen Harris,TOR,22,2,2,0,2.2,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,1,0.1,0,0,0.5,135.8
490,Patrick McCaw,TOR,25,3,2,1,6.5,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,1.3,0,0,0,1,2.4,0,0,-5,84.8
491,Ty-Shon Alexander,PHX,22,3,2,1,2.8,0,0,1,0,0,0.3,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0.3,0.9,0,0,-3,56.8
492,Wenyen Gabriel,NOP,24,4,2,2,3.1,0,0,0.8,0,0,0.3,0,0,0,0,0.3,1,1.3,0.3,0,0,0,0,1.9,0,0,1.5,108.5